Group,Model,Number of dead neuron,Fraction of Variance Unexplained (FVU),Normalized MAE,Cosine similarity,L0 measure,CKNNA,DO,Size,FMS,KL Divergence,AgreementAC,Intra-cluster Distance,Inter-cluster Distance,Separation Ratio
ReLUSAE-DINOv2,
ReLUSAE-DINOv2,
ReLUSAE-DINOv2,
BatchTop_256-VIT,6144_TopKReLU_256_vit_b_16,0.0,0.0229,0.154,0.988,0.95833,0.75,0.001855141599662602,9.4,0.614015,0.01501,96.72,,,
BatchTop_256-VIT,12288_TopKReLU_256_vit_b_16,0.0,0.0182,0.1374,0.991,0.97917,0.74,0.00185122259426862,18.9,0.596019,0.02266,96.17,0.392,0.2837,0.7238
BatchTop_256-VIT,24576_TopKReLU_256_vit_b_16,0.0,0.0154,0.1261,0.992,0.98958,0.75,0.0016763773746788502,37.8,0.602289,0.03133,95.66,,,

MSAE_RW-VIT,768_768_TopKReLU_64_RW_vit_b_16,0,0.1067,0.3474,0.945,0.91667,0.73,0.00156395,1.0
MSAE_RW-VIT,1536_768_TopKReLU_64_RW_vit_b_16,0,0.0874,0.3073,0.955,0.95833,0.71,0.00154635,2.0
MSAE_RW-VIT,3072_768_TopKReLU_64_RW_vit_b_16,0,0.0746,0.2788,0.961,0.97917,0.7,0.00152754,4.0
MSAE_RW-VIT,6144_TopKReLU_64_RW_vit_b_16,0.0,0.065,0.2588,0.967,0.98958,0.71,0.001477489829994738,9.4,0.605268,0.03136,95.53,0.4145,0.2752,0.664
MSAE_RW-VIT,12288_TopKReLU_64_RW_vit_b_16,0.0,0.0564,0.2409,0.971,0.99479,0.7,0.001413104822859168,18.9,0.605973,0.03826,95.35,0.4051,0.2782,0.6868
MSAE_RW-VIT,24576_TopKReLU_64_RW_vit_b_16,0.0,0.0491,0.2252,0.975,0.9974,0.69,0.0013689649058505893,37.8,0.601906,0.0458,95.0,0.3964,0.2811,0.7093

MSAE_UW-VIT,768_768_TopKReLU_64_UW_vit_b_16,0,0.1124,0.3584,0.942,0.91667,0.72,0.00152701,1.0
MSAE_UW-VIT,1536_768_TopKReLU_64_UW_vit_b_16,0,0.0918,0.317,0.952,0.95833,0.71,0.00151799,2.0
MSAE_UW-VIT,3072_768_TopKReLU_64_UW_vit_b_16,0,0.0787,0.2881,0.959,0.97917,0.72,0.0015251,4.0
MSAE_UW-VIT,6144_TopKReLU_64_UW_vit_b_16,0.0,0.0687,0.2669,0.965,0.98958,0.72,0.0014758278848603368,9.4,0.612423,0.0275,95.85,0.4146,0.2763,0.6665
MSAE_UW-VIT,12288_TopKReLU_64_UW_vit_b_16,0.0,0.0598,0.2485,0.97,0.99479,0.71,0.001411053235642612,18.9,0.610548,0.03432,95.57,0.4048,0.2789,0.6889
MSAE_UW-VIT,24576_TopKReLU_64_UW_vit_b_16,0.0,0.0522,0.2321,0.974,0.9974,0.71,0.0013651419430971146,37.8,0.601704,0.03985,95.25,0.3947,0.2821,0.7146

ReLUSAE-R50,16384_ReLU_003_resnet50h,0.0,0.0085,0.0871,0.997,0.62816,0.74,0.0018097339197993279,67.1,0.686397,0.00181,98.54,,,
ReLUSAE-R50,32768_ReLU_003_resnet50h,0.0,0.0075,0.0801,0.998,0.69856,0.77,0.0015466924523934722,134.3,0.693271,0.00158,98.61,,,
ReLUSAE-R50,65536_ReLU_003_resnet50.pth,0.0,0.0073,0.0785,0.998,0.81968,0.77,x,268.6,0.6989,0.00165,98.59,,,
TopKReLU_64-R50,16384_TopKReLU_64_resnet50h,0.0,0.1127,0.3191,0.947,0.99609,0.77,0.002465527504682541,67.1,0.63741,0.08104,90.33,,,
TopKReLU_64-R50,32768_TopKReLU_64_resnet50h,0.0,0.1148,0.3222,0.946,0.99805,0.77,0.0014366147806867957,134.3,0.643445,0.08608,89.82,,,
TopKReLU_64-R50,65536_TopKReLU_64_resnet50.pth,0.0,0.1155,0.3233,0.946,0.99902,0.76,x,286.6,0.645042,0.09472,89.43,,,
TopKReLU_256-R50,16384_TopKReLU_256_resnet50h,0.0,0.0083,0.0872,0.996,0.98438,0.69,0.0017535715596750379,67.1,0.661296,0.0078,97.13,,,
TopKReLU_256-R50,32768__TopKReLU_256_resnet50h,0.0,0.0081,0.0861,0.996,0.99219,0.7,0.0012330221943557262,134.3,0.672522,0.01435,96.2,,,
TopKReLU_256-R50,65536_TopKReLU_256_resnet50.pth,0.0,0.0079,0.085,0.996,0.99609,0.71,x,268.6,0.664825,0.02378,95.3,,,
BatchTop_64-R50,16384_TopKReLU_64_resnet50h,0.0,0.1127,0.3191,0.947,0.99609,0.77,0.002465527504682541,67.1,0.63741,0.08104,90.33,,,
BatchTop_64-R50,32768_TopKReLU_64_resnet50h,0.0,0.1148,0.3222,0.946,0.99805,0.77,0.0014366147806867957,134.3,0.643445,0.08608,89.82,,,
BatchTop_64-R50,65536_TopKReLU_64_resnet50.pth,0.0,0.1155,0.3233,0.946,0.99902,0.76,x,268.6,0.645042,0.09472,89.43,,,
BatchTop_256-R50,16384_TopKReLU_256_resnet50h,0.0,0.0083,0.0872,0.996,0.98438,0.69,0.0017535715596750379,67.1,0.661296,0.0078,97.13,,,
BatchTop_256-R50,32768_TopKReLU_256_resnet50h,0.0,0.0081,0.0861,0.996,0.99219,0.7,0.0012330221943557262,134.3,0.672522,0.01435,96.2,,,
BatchTop_256-R50,65536_TopKReLU_256_resnet50.pth,1.0,0.0238,95.298,,,,,,,,,,,
MSAE_RW-R50,16384_TopKReLU_64_RW_resnet50h,0.0,0.1412,0.3589,0.933,0.99609,0.79,0.0007461440982297063,67.1,0.657013,0.01682,95.69,,,
MSAE_RW-R50,32768_TopKReLU_64_RW_resnet50h,0.0,0.1409,0.3586,0.933,0.99805,0.79,0.0006019702996127307,134.3,0.675969,0.0183,95.41,,,
MSAE_RW-R50,65536_TopKReLU_64_RW_resnet50.pth,1.0,0.0178,95.56,,,,,,,,,,,
MSAE_UW-R50,16384_TopKReLU_64_UW_resnet50h,0.0,0.1484,0.3685,0.929,0.99609,0.79,0.0007316533010452986,67.1,0.667972,0.01219,96.18,,,
MSAE_UW-R50,32768_TopKReLU_64_UW_resnet50h,0.0,0.1491,0.3694,0.929,0.99805,0.78,0.0006015992257744074,134.3,0.668493,0.01523,95.86,,,
MSAE_UW-R50,65536_TopKReLU_64_UW_resnet50.pth,1.0,0.017,95.544,,,,,,,,,,,
HC-ViT,HC-ViT-003,0.0,0.0,0.0,1.0,0.0,1.0,0.050702,1.006510,0.624374,0.0,1.0,0.4306,0.2689,0.6243
HC-ViT,HC-ViT-002,0.0,0.0,0.0,1.0,0.0,1.0,0.034843,1.213542,0.636188,0.0,1.0,0.4293,0.2694,0.6275
HC-ViT,HC-ViT-001,0.0,0.0,0.0,1.0,0.0,1.0,0.000958,7.049479,0.689988,0.0,1.0,0.4261,0.2736,0.642
HC-RN50,HC-RN50-003,0.0,0.0,0.0,1.0,0.003,1.0,0.000036,1.012695,0.68559,0.0,1.0,,,
HC-RN50,HC-RN50-002,0.0,0.0,0.0,1.0,0.0025,1.0,0.000029,1.123047,0.688607,0.0,1.0,,,
HC-RN50,HC-RN50-001,0.0,0.0,0.0,1.0,0.0025,1.0,0.000007,2.300781,0.712418,0.0,1.0,,,
HC-DINOv2,HC-DINOv2-003,0.0,0.0,0.0,1.0,0.0,1.0,0.000246,1.011719,0.643916,0.0,1.0,,,
HC-DINOv2,HC-DINOv2-002,0.0,0.0,0.0,1.0,0.0,1.0,0.000253,1.016602,0.643135,0.0,1.0,,,
HC-DINOv2,HC-DINOv2-001,0.0,0.0,0.0,1.0,0.0,1.0,0.000224,1.146484,0.645995,0.0,1.0,,,
HC-DINOv2,HC-DINOv2-0001,0.0,0.0,0.0,1.0,0.0,1.0,x,x,0.657659,0.0,1.0,,,
